token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
19447,CAPTRUST,CAPTRUST,,-1.000000,1,,NSE,1.000000
19458,PLAZACABLE,PLAZACABLE,,-1.000000,1,,NSE,1.000000
19585,BSE,BSE,,-1.000000,1,,NSE,10.000000
1979,LMW,LMW,,-1.000000,1,,NSE,100.000000
19913,DMART,DMART,,-1.000000,1,,NSE,10.000000
20072,INFRABEES,INFRABEES,,-1.000000,1,,NSE,1.000000
20134,RAMKY,RAMKY,,-1.000000,1,,NSE,5.000000
20188,WABAG,WABAG,,-1.000000,1,,NSE,10.000000
2028,LYKALABS,LYKALABS,,-1.000000,1,,NSE,1.000000
20329,CGCL,CGCL,,-1.000000,1,,NSE,1.000000
20551,DOMS,DOMS,,-1.000000,1,,NSE,10.000000
20607,INOXINDIA,INOXINDIA,,-1.000000,1,,NSE,10.000000
20825,HUDCO,HUDCO,,-1.000000,1,,NSE,1.000000
21001,PSB,PSB,,-1.000000,1,,NSE,1.000000
21017,FMNL,FMNL,,-1.000000,1,,NSE,1.000000
21314,DYNPRO,DYNPRO,,-1.000000,1,,NSE,1.000000
21508,COCHINSHIP,COCHINSHIP,,-1.000000,1,,NSE,10.000000
21614,ABCAPITAL,ABCAPITAL,,-1.000000,1,,NSE,5.000000
21726,MATRIMONY,MATRIMONY,,-1.000000,1,,NSE,5.000000
2181,BOSCHLTD,BOSCHLTD,,-1.000000,1,,NSE,500.000000
220,IEX,IEX,,-1.000000,1,,NSE,1.000000
100,ARE&M,ARE&M,,-1.000000,1,,NSE,5.000000
10028,ICICI2INAV,ICICI2INAV,,-1.000000,1,,NSE,1.000000
10050,ICICI1INAV,ICICI1INAV,,-1.000000,1,,NSE,1.000000
10155,SETF10INAV,SETF10INAV,,-1.000000,1,,NSE,1.000000
10181,BALKRISHNA,BALKRISHNA,,-1.000000,1,,NSE,1.000000
1030,AARON,AARON,,-1.000000,1,,NSE,1.000000
10585,MOM30IETF,MOM30IETF,,-1.000000,1,,NSE,1.000000
10604,BHARTIARTL,BHARTIARTL,,-1.000000,1,,NSE,10.000000
10634,ASAL,ASAL,,-1.000000,1,,NSE,5.000000
10676,MNC,MNC,,-1.000000,1,,NSE,1.000000
1076,ZENSARTECH,ZENSARTECH,,-1.000000,1,,NSE,5.000000
10825,MOVALUE,MOVALUE,,-1.000000,1,,NSE,1.000000
10999,MARUTI,MARUTI,,-1.000000,1,,NSE,100.000000
10993,INDORAMA,INDORAMA,,-1.000000,1,,NSE,1.000000
11226,BAGFILMS,BAGFILMS,,-1.000000,1,,NSE,1.000000
11275,TVTODAY,TVTODAY,,-1.000000,1,,NSE,1.000000
11325,MUKANDLTD,MUKANDLTD,,-1.000000,1,,NSE,1.000000
11403,POONAWALLA,POONAWALLA,,-1.000000,1,,NSE,5.000000
11407,XPROINDIA,XPROINDIA,,-1.000000,1,,NSE,5.000000
11441,LICNETFSEN,LICNETFSEN,,-1.000000,1,,NSE,1.000000
11571,PPLPHARMA,PPLPHARMA,,-1.000000,1,,NSE,1.000000
11582,TRACXN,TRACXN,,-1.000000,1,,NSE,1.000000
11618,ASTRAMICRO,ASTRAMICRO,,-1.000000,1,,NSE,5.000000
1174,GNFC,GNFC,,-1.000000,1,,NSE,5.000000
11705,XCHANGING,XCHANGING,,-1.000000,1,,NSE,1.000000
11798,ALLDIGI,ALLDIGI,,-1.000000,1,,NSE,5.000000
11817,MANGALAM,MANGALAM,,-1.000000,1,,NSE,1.000000
11872,GRANULES,GRANULES,,-1.000000,1,,NSE,5.000000
11884,MANINDS,MANINDS,,-1.000000,1,,NSE,5.000000
11905,GENUSPOWER,GENUSPOWER,,-1.000000,1,,NSE,5.000000
1200,ESG,ESG,,-1.000000,1,,NSE,1.000000
12034,BASML,BASML,,-1.000000,1,,NSE,1.000000
12533,AAATECH,AAATECH,,-1.000000,1,,NSE,1.000000
13081,TRIVENI,TRIVENI,,-1.000000,1,,NSE,5.000000
13285,M&MFIN,M&MFIN,,-1.000000,1,,NSE,5.000000
13310,KEI,KEI,,-1.000000,1,,NSE,50.000000
13332,SOLARINDS,SOLARINDS,,-1.000000,1,,NSE,100.000000
13367,SGL,SGL,,-1.000000,1,,NSE,1.000000
13441,BALPHARMA,BALPHARMA,,-1.000000,1,,NSE,1.000000
13585,ATLANTAA,ATLANTAA,,-1.000000,1,,NSE,1.000000
13631,SKYGOLD,SKYGOLD,,-1.000000,1,,NSE,5.000000
13810,GREENPANEL,GREENPANEL,,-1.000000,1,,NSE,1.000000
13890,HIRECT,HIRECT,,-1.000000,1,,NSE,10.000000
13951,PARACABLES,PARACABLES,,-1.000000,1,,NSE,1.000000
13982,JASH,JASH,,-1.000000,1,,NSE,5.000000
14134,PITTIENG,PITTIENG,,-1.000000,1,,NSE,5.000000
14194,NINSYS,NINSYS,,-1.000000,1,,NSE,5.000000
14223,TIIL,TIIL,,-1.000000,1,,NSE,10.000000
1023,FEDERALBNK,FEDERALBNK,,-1.000000,1,,NSE,5.000000
10227,MANORAMA,MANORAMA,,-1.000000,1,,NSE,10.000000
10238,CONFIPET,CONFIPET,,-1.000000,1,,NSE,1.000000
10515,SENSEXBETA,SENSEXBETA,,-1.000000,1,,NSE,1.000000
1053,UFLEX,UFLEX,,-1.000000,1,,NSE,5.000000
10580,TCI,TCI,,-1.000000,1,,NSE,10.000000
10584,HDFC50INAV,HDFC50INAV,,-1.000000,1,,NSE,1.000000
10618,SADBHIN,SADBHIN,,-1.000000,1,,NSE,1.000000
10619,HDFCNEXT50,HDFCNEXT50,,-1.000000,1,,NSE,1.000000
10633,HDFCNIF100,HDFCNIF100,,-1.000000,1,,NSE,1.000000
10723,INFRAIETF,INFRAIETF,,-1.000000,1,,NSE,1.000000
1085,GABRIEL,GABRIEL,,-1.000000,1,,NSE,5.000000
10905,GENESYS,GENESYS,,-1.000000,1,,NSE,5.000000
10948,STCINDIA,STCINDIA,,-1.000000,1,,NSE,1.000000
11140,SUMIT,SUMIT,,-1.000000,1,,NSE,1.000000
11162,HARSHA,HARSHA,,-1.000000,1,,NSE,5.000000
11223,UCOBANK,UCOBANK,,-1.000000,1,,NSE,1.000000
11364,VAIBHAVGBL,VAIBHAVGBL,,-1.000000,1,,NSE,1.000000
11411,RKFORGE,RKFORGE,,-1.000000,1,,NSE,5.000000
11427,NDTV,NDTV,,-1.000000,1,,NSE,1.000000
11445,PILANIINVS,PILANIINVS,,-1.000000,1,,NSE,10.000000
1145,GIPCL,GIPCL,,-1.000000,1,,NSE,1.000000
11471,EXCELINDUS,EXCELINDUS,,-1.000000,1,,NSE,5.000000
11480,KRIDHANINF,KRIDHANINF,,-1.000000,1,,NSE,1.000000
11491,APARINDS,APARINDS,,-1.000000,1,,NSE,100.000000
11532,ULTRACEMCO,ULTRACEMCO,,-1.000000,1,,NSE,100.000000
11543,COFORGE,COFORGE,,-1.000000,1,,NSE,10.000000
11549,TEXINFRA,TEXINFRA,,-1.000000,1,,NSE,1.000000
11566,DCI,DCI,,-1.000000,1,,NSE,5.000000
11580,WESTLIFE,WESTLIFE,,-1.000000,1,,NSE,5.000000
1164,NEWGEN,NEWGEN,,-1.000000,1,,NSE,5.000000
11627,NARMADA,NARMADA,,-1.000000,1,,NSE,1.000000
11689,SUPRAJIT,SUPRAJIT,,-1.000000,1,,NSE,5.000000
11703,ALKEM,ALKEM,,-1.000000,1,,NSE,50.000000
11804,SUKHJITS,SUKHJITS,,-1.000000,1,,NSE,1.000000
11809,IIFL,IIFL,,-1.000000,1,,NSE,5.000000
11880,JSWHL,JSWHL,,-1.000000,1,,NSE,100.000000
11961,SEMAC,SEMAC,,-1.000000,1,,NSE,1.000000
12018,SUZLON,SUZLON,,-1.000000,1,,NSE,1.000000
1204,PRAXIS,PRAXIS,,-1.000000,1,,NSE,1.000000
12026,RENUKA,RENUKA,,-1.000000,1,,NSE,1.000000
12188,INOXGREEN,INOXGREEN,,-1.000000,1,,NSE,1.000000
1247,GSFC,GSFC,,-1.000000,1,,NSE,1.000000
13072,IIFLCAPS,IIFLCAPS,,-1.000000,1,,NSE,5.000000
13147,PVRINOX,PVRINOX,,-1.000000,1,,NSE,10.000000
13270,JKCEMENT,JKCEMENT,,-1.000000,1,,NSE,50.000000
13423,ELIN,ELIN,,-1.000000,1,,NSE,1.000000
13643,ELECON,ELECON,,-1.000000,1,,NSE,5.000000
13675,NRL,NRL,,-1.000000,1,,NSE,1.000000
13702,VISHWARAJ,VISHWARAJ,,-1.000000,1,,NSE,1.000000
13745,GTLINFRA,GTLINFRA,,-1.000000,1,,NSE,1.000000
1375,HCC,HCC,,-1.000000,1,,NSE,1.000000
13756,SHIVAMAUTO,SHIVAMAUTO,,-1.000000,1,,NSE,1.000000
13776,GESHIP,GESHIP,,-1.000000,1,,NSE,10.000000
13794,BAIDFIN,BAIDFIN,,-1.000000,1,,NSE,1.000000
13796,MANALIPETC,MANALIPETC,,-1.000000,1,,NSE,1.000000
13844,MMFL,MMFL,,-1.000000,1,,NSE,5.000000
